Date,Close
2022-08-01,2485.8916072368124
2022-08-02,2473.923975894742
2022-08-03,2481.4101160766286
2022-08-04,2438.2943617968076
2022-08-05,2434.0445747074136
2022-08-08,2459.6846245788633
2022-08-09,2440.2454005782483
2022-08-10,2483.178444338589
2022-08-11,2479.221692469858
2022-08-12,2520.8618315727767
2022-08-15,2535.34230410701
2022-08-16,2601.298845021439
2022-08-17,2610.8965985931973
2022-08-18,2582.4375942335064
2022-08-19,2538.911521195601
2022-08-22,2492.5969607242414
2022-08-23,2482.0449622151123
2022-08-24,2483.7659004804427
2022-08-25,2514.710392267769
2022-08-26,2447.969874620793
2022-08-29,2436.88119489196
2022-08-30,2415.0325518382892
2022-08-31,2422.6985231540857
2022-09-01,2443.297005129661
2022-09-02,2423.2010671564326
2022-09-06,2391.0748033775976
2022-09-07,2452.077566279966
2022-09-08,2454.034750966186
2022-09-09,2482.1235638637568
2022-09-12,2490.2689214739703
2022-09-13,2425.179147063441
2022-09-14,2408.702171710297
2022-09-15,2386.229421726404
2022-09-16,2374.0492521803108
2022-09-19,2386.2902353532304
